Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Curtailed
10-15 09:00,735.812,850.537,850.537,False
10-15 10:00,567.091,850.537,850.537,False
10-15 11:00,207.087,850.537,850.537,False
10-15 12:00,52.9784,850.537,850.537,False
10-15 13:00,42.816300000000005,850.537,850.537,False
10-15 14:00,27.4239,850.537,850.537,False
10-15 15:00,99.8248,850.537,850.537,False
10-15 16:00,139.431,850.537,850.537,False
10-15 17:00,261.798,850.537,850.537,False
10-15 18:00,149.561,850.537,850.537,False
10-15 19:00,113.588,850.537,850.537,False
10-15 20:00,106.724,850.537,850.537,False
10-15 21:00,64.6999,850.537,850.537,False
10-15 22:00,47.338300000000004,850.5369999999999,850.5369999999999,False
10-15 23:00,30.0783,850.537,850.537,False
10-16 00:00,40.6946,850.537,850.537,False
10-16 01:00,174.821,850.537,850.537,False
10-16 02:00,444.967,850.537,850.537,False
10-16 03:00,681.107,850.5369999999999,850.5369999999999,False
10-16 04:00,830.692,850.5370000000001,850.5370000000001,False
10-16 05:00,830.692,850.537,850.537,False
10-16 06:00,830.692,850.537,850.537,False
10-16 07:00,829.375,850.537,850.537,False
10-16 08:00,827.315,850.5369999999999,850.5369999999999,False
10-16 09:00,825.421,850.537,850.537,False
10-16 10:00,830.692,804.6255681130699,804.6255681130699,False
10-16 11:00,781.974,804.1350582655467,804.1350582655467,False
10-16 12:00,721.994,799.8071598354636,799.8071598354636,False
10-16 13:00,554.353,790.2133238837811,790.2133238837811,False
10-16 14:00,455.504,784.5213684245323,784.5213684245323,False
10-16 15:00,533.214,780.218751079111,780.218751079111,False
10-16 16:00,711.036,781.8120173544045,781.8120173544045,False
10-16 17:00,567.327,787.4264885771847,787.4264885771847,False
10-16 18:00,830.692,791.1451391353683,791.1451391353683,False
10-16 19:00,830.692,723.3481003667125,723.3481003667125,False
10-16 20:00,830.692,747.9554329945154,747.9554329945154,False
10-16 21:00,830.692,789.7552369602162,789.7552369602162,False
10-16 22:00,830.692,781.9978934166667,781.9978934166667,False
10-16 23:00,830.692,768.2198103478261,768.2198103478261,False
10-17 00:00,830.692,700.2260538672044,700.2260538672044,False
10-17 01:00,830.692,729.8060031862356,729.8060031862356,False
10-17 02:00,830.692,728.1940677354052,728.1940677354052,False
10-17 03:00,830.692,726.5157434291723,726.5157434291723,False
10-17 04:00,830.692,673.169527749586,673.169527749586,False
10-17 05:00,830.692,736.939584923329,736.939584923329,False
10-17 06:00,830.692,850.537,850.537,False
10-17 07:00,830.692,850.537,850.537,False
10-17 08:00,830.692,850.537,850.537,False
10-17 09:00,830.692,749.5908482241341,749.5908482241341,False
10-17 10:00,830.692,735.9991306230871,735.9991306230871,False
10-17 11:00,830.692,733.6194110332355,733.6194110332355,False
10-17 12:00,830.692,752.2863745989029,752.2863745989029,False
10-17 13:00,830.692,754.9903617801227,754.9903617801227,False
10-17 14:00,830.692,759.5651004579702,759.5651004579702,False
10-17 15:00,480.463,772.7795490526561,772.7795490526561,False
10-17 16:00,531.015,850.537,850.537,False
10-17 17:00,495.538,850.537,850.537,False
10-17 18:00,425.727,849.4382440399296,849.4382440399296,False
10-17 19:00,830.692,733.7312117673889,733.7312117673889,False
10-17 20:00,536.245,850.537,850.537,False
10-17 21:00,606.038,850.537,850.537,False
10-17 22:00,601.831,847.263422925673,847.263422925673,False
10-17 23:00,830.692,850.537,850.537,False
10-18 00:00,830.465,850.537,850.537,False
10-18 01:00,724.748,738.772250650625,738.772250650625,False
10-18 02:00,830.12,739.2702626073481,739.2702626073481,False
10-18 03:00,456.482,738.9677843415452,738.9677843415452,False
10-18 04:00,780.66,850.537,850.537,False
10-18 05:00,810.409,761.4441766526156,761.4441766526156,False
10-18 06:00,542.61,778.592589960086,778.592589960086,False
