Date,Generation (MWh),Marginal Emissions Rate (lbs CO2/MWh) - Before,Marginal Emissions Rate (lbs CO2/MWh) - After,Avoided Emissions (lbs CO2),Curtailed
01-13 21:00,830.692,850.537,850.537,706534.281604,False
01-13 22:00,830.692,850.537,850.537,706534.281604,False
01-13 23:00,830.692,850.537,850.537,706534.281604,False
01-14 00:00,830.692,850.537,850.537,706534.281604,False
01-14 01:00,795.63,850.537,850.537,676712.7533100001,False
01-14 02:00,789.69,850.537,850.537,671660.56353,False
01-14 03:00,830.692,850.537,850.537,706534.281604,False
01-14 04:00,830.692,850.537,850.537,706534.281604,False
01-14 05:00,830.692,850.537,850.537,706534.281604,False
01-14 06:00,830.692,850.537,850.537,706534.281604,False
01-14 07:00,830.692,850.537,850.537,706534.281604,False
01-14 08:00,830.692,850.537,850.537,706534.281604,False
01-14 09:00,830.692,850.537,850.537,706534.281604,False
01-14 10:00,830.692,850.537,850.537,706534.281604,False
01-14 11:00,830.692,850.5370000000001,850.5370000000001,706534.2816040001,False
01-14 12:00,830.692,850.5369999999999,850.5369999999999,706534.2816039999,False
01-14 13:00,830.652,850.537,850.537,706500.260124,False
01-14 14:00,763.947,850.537,850.537,649765.189539,False
01-14 15:00,829.267,850.537,850.537,705322.266379,False
01-14 16:00,280.977,850.5370000000001,850.5370000000001,238981.33464900003,False
01-14 17:00,105.905,850.537,850.537,90076.120985,False
01-14 18:00,69.4141,850.537,850.537,59039.26037170001,False
01-14 19:00,27.3986,850.537,850.537,23303.5230482,False
01-14 20:00,47.3554,850.537,850.537,40277.5198498,False
01-14 21:00,63.1821,850.5370000000001,850.5370000000001,53738.713787700006,False
01-14 22:00,175.482,850.5369999999999,850.5369999999999,149253.933834,False
01-14 23:00,304.495,850.537,850.537,258984.263815,False
01-15 00:00,545.756,850.537,850.537,464185.670972,False
01-15 01:00,705.6,850.537,850.537,600138.9072,False
01-15 02:00,521.565,850.5369999999999,850.5369999999999,443610.330405,False
01-15 03:00,830.67,850.537,850.537,706515.56979,False
01-15 04:00,830.692,850.537,850.537,706534.281604,False
01-15 05:00,667.751,850.537,850.537,567946.932287,False
01-15 06:00,381.703,850.537,850.537,324652.52451099997,False
01-15 07:00,291.501,850.537,850.537,247932.386037,False
01-15 08:00,213.777,850.537,850.537,181825.248249,False
01-15 09:00,67.4339,850.537,850.537,57355.0270043,False
